Datum,Klicks,Impressionen,CTR,Position
2026-09-02,25,249,10.04%,6.2
2026-09-03,18,225,8%,5.5
2026-09-04,19,291,6.53%,9.6
2026-09-05,13,259,5.02%,8
2026-09-06,27,331,8.16%,6.3
2026-09-07,31,249,12.45%,7.2
2026-09-08,18,239,7.53%,6.7
